subframe_nums,imu_acc_noise_std,imu_gyr_noise_std,pts_used,opt_iter_count,rematch_num
1,0.039854,0.003487,1191,4,3
1,0.039856,0.003488,1173,4,4
1,0.039991,0.003556,1186,4,3
1,0.039925,0.003523,1171,4,3
1,0.040091,0.003606,1210,4,3
1,0.040093,0.003607,1189,4,3
1,0.039663,0.003392,1195,4,4
1,0.039927,0.003524,1187,4,3
1,0.039873,0.003497,1158,4,3
1,0.039713,0.003417,1173,4,3
1,0.039828,0.003474,1162,4,3
1,0.039895,0.003508,1164,4,4
1,0.040066,0.003593,1187,4,3
1,0.040181,0.003651,1158,4,4
1,0.040127,0.003624,1182,4,3
1,0.040178,0.003649,1171,2,3
1,0.040302,0.003711,1194,4,4
1,0.040231,0.003676,1195,4,3
1,0.040018,0.003569,1198,4,4
1,0.039948,0.003535,1178,4,3
1,0.039967,0.003544,1159,4,3
1,0.040620,0.003870,1175,4,4
1,0.040571,0.003846,1159,4,3
1,0.040086,0.003603,1194,4,3
1,0.040658,0.003889,1196,4,3
1,0.040066,0.003594,1178,4,4
1,0.040178,0.003649,1209,2,3
1,0.039959,0.003540,1173,4,4
1,0.039896,0.003508,1190,4,3
1,0.039750,0.003436,1184,4,4
1,0.039908,0.003515,1195,2,3
1,0.039785,0.003453,1203,2,3
1,0.039949,0.003535,1161,4,4
1,0.039786,0.003453,1162,4,4
1,0.039924,0.003523,1147,4,4
1,0.039905,0.003513,1185,2,3
1,0.039919,0.003520,1200,4,4
1,0.040021,0.003571,1187,2,3
1,0.039991,0.003556,1186,4,4
1,0.039937,0.003529,1196,4,4
1,0.039952,0.003536,1189,4,4
1,0.040125,0.003623,1176,4,4
1,0.040094,0.003607,1188,2,3
1,0.040037,0.003579,1173,2,3
1,0.040151,0.003636,1183,4,4
1,0.040046,0.003583,1168,2,3
1,0.040213,0.003667,1147,4,4
1,0.040545,0.003833,1169,4,4
1,0.040632,0.003876,1195,2,3
1,0.040723,0.003922,1198,2,3
1,0.040347,0.003734,1194,4,4
1,0.039893,0.003507,1190,4,3
1,0.039961,0.003541,1200,4,4
1,0.040048,0.003584,1189,4,4
1,0.040146,0.003633,1184,4,4
1,0.040095,0.003608,1173,4,4
1,0.040052,0.003586,1192,2,3
1,0.041679,0.004400,1162,4,3
1,0.042003,0.004562,1145,2,3
1,0.041129,0.004125,1196,4,4
1,0.040338,0.003729,1190,4,4
1,0.040371,0.003746,1189,4,4
1,0.040136,0.003629,1188,4,3
1,0.040224,0.003673,1202,2,3
1,0.040321,0.003721,1203,2,3
1,0.040036,0.003578,1192,4,4
1,0.040100,0.003610,1190,4,4
1,0.040020,0.003571,1168,2,3
1,0.039967,0.003544,1180,2,3
1,0.040277,0.003699,1161,2,3
1,0.039955,0.003538,1133,4,4
1,0.039956,0.003538,1194,2,3
1,0.039831,0.003476,1197,2,3
1,0.039811,0.003466,1186,2,3
1,0.039781,0.003451,1182,4,4
1,0.039854,0.003487,1174,2,3
1,0.039738,0.003429,1198,4,4
1,0.039898,0.003509,1193,4,4
1,0.039963,0.003542,1188,4,4
1,0.040039,0.003580,1173,2,3
1,0.040117,0.003619,1202,2,3
1,0.039999,0.003560,1180,4,4
1,0.039880,0.003500,1164,4,4
1,0.040101,0.003611,1204,2,3
1,0.040057,0.003589,1161,4,4
1,0.041310,0.004215,1198,4,4
1,0.042897,0.005009,1197,4,4
1,0.040307,0.003714,1197,4,3
1,0.040924,0.004022,1196,4,4
1,0.040390,0.003755,1184,4,4
1,0.040127,0.003624,1187,4,4
1,0.040206,0.003663,1165,4,3
1,0.040115,0.003618,1192,2,3
1,0.040280,0.003700,1165,4,4
1,0.039921,0.003521,1195,2,3
1,0.039955,0.003538,1205,4,4
1,0.039886,0.003503,1174,4,4
1,0.040012,0.003566,1196,4,3
1,0.040019,0.003570,1167,4,4
1,0.039838,0.003479,1193,2,3
1,0.039897,0.003509,1185,2,3
1,0.039892,0.003506,1190,4,4
1,0.039878,0.003500,1172,4,4
1,0.039734,0.003427,1159,4,4
1,0.039754,0.003437,1161,4,4
1,0.039927,0.003524,1161,4,4
1,0.039792,0.003457,1175,4,4
1,0.040010,0.003565,1201,4,4
1,0.040978,0.004049,1194,4,4
1,0.040617,0.003869,1207,2,3
1,0.040423,0.003772,1206,2,3
1,0.040318,0.003719,1208,2,3
1,0.041378,0.004249,1182,2,3
1,0.041447,0.004284,1180,2,3
1,0.042451,0.004786,1159,2,3
1,0.041627,0.004374,1153,4,4
1,0.041883,0.004502,1174,4,4
1,0.041948,0.004534,1163,2,3
1,0.042013,0.004567,1184,4,4
1,0.040474,0.003797,1189,4,4
1,0.040653,0.003887,1161,2,3
1,0.040140,0.003631,1186,4,4
1,0.039943,0.003532,1194,4,3
1,0.039911,0.003516,1206,2,3
1,0.039891,0.003506,1187,4,4
1,0.039929,0.003525,1190,4,4
1,0.040045,0.003583,1147,2,3
1,0.039966,0.003543,1159,2,3
1,0.039807,0.003464,1186,4,4
1,0.039954,0.003537,1162,4,3
1,0.039908,0.003515,1199,4,4
1,0.039960,0.003540,1187,4,3
1,0.039864,0.003492,1167,4,4
1,0.039969,0.003545,1190,2,3
1,0.039943,0.003532,1197,4,3
1,0.039974,0.003547,1213,2,3
1,0.040059,0.003590,1191,4,4
1,0.039683,0.003402,1195,4,4
1,0.039853,0.003487,1152,4,3
1,0.039861,0.003491,1153,4,4
1,0.039993,0.003557,1159,4,4
1,0.040090,0.003605,1171,2,3
1,0.039955,0.003538,1202,4,3
1,0.039906,0.003514,1194,4,4
1,0.039676,0.003398,1180,4,4
1,0.039854,0.003487,1180,4,4
1,0.039772,0.003446,1197,4,4
1,0.039680,0.003400,1201,4,4
1,0.039989,0.003555,1192,4,4
1,0.039784,0.003452,1200,2,3
1,0.039919,0.003520,1162,4,3
1,0.039933,0.003527,1157,2,3
1,0.039934,0.003527,1169,4,4
1,0.039904,0.003512,1148,4,4
1,0.039961,0.003541,1204,4,4
1,0.039988,0.003554,1178,4,4
