subframe_nums,imu_acc_noise_std,imu_gyr_noise_std,pts_used,opt_iter_count,rematch_num
1,0.033337,0.003214,5076,4,3
1,0.033141,0.003115,5062,4,4
1,0.033456,0.003273,5113,4,3
1,0.033441,0.003266,5081,4,3
1,0.033288,0.003189,5173,4,4
1,0.033169,0.003129,5136,4,4
1,0.033030,0.003060,5188,4,4
1,0.033105,0.003097,5149,4,3
1,0.033064,0.003077,5181,4,3
1,0.032936,0.003013,5145,4,4
1,0.033123,0.003107,5154,4,4
1,0.033063,0.003076,5052,4,4
1,0.033240,0.003165,5108,4,4
1,0.033227,0.003158,5141,4,4
1,0.033284,0.003187,5073,4,3
1,0.033155,0.003123,5078,4,4
1,0.033366,0.003228,5237,4,4
1,0.033283,0.003187,5130,2,3
1,0.033328,0.003209,5196,4,4
1,0.033382,0.003236,5040,4,4
1,0.033197,0.003144,5089,2,3
1,0.033220,0.003155,5071,4,4
1,0.033206,0.003148,5257,4,4
1,0.033112,0.003101,5125,4,4
1,0.032916,0.003003,5103,4,4
1,0.033040,0.003065,5127,2,3
1,0.033107,0.003098,5026,2,3
1,0.032862,0.002976,5050,2,3
1,0.032996,0.003043,5225,4,4
1,0.033018,0.003054,5164,2,3
1,0.033285,0.003188,5200,2,3
1,0.033462,0.003276,5176,4,4
1,0.033421,0.003255,5064,4,4
1,0.033448,0.003269,5131,2,3
1,0.033416,0.003253,5196,4,4
1,0.036493,0.004792,5320,2,3
2,0.042739,0.007915,5185,2,3
3,0.057499,0.015295,5517,4,4
5,0.076005,0.024548,5737,4,4
9,0.118896,0.045993,4357,2,3
5,0.082270,0.027680,2825,4,3
7,0.093538,0.033314,3048,4,4
20,0.234439,0.103765,6045,4,4
11,0.142176,0.057633,11045,4,4
5,0.081568,0.027329,11809,4,4
3,0.056475,0.014782,11645,4,4
4,0.068027,0.020559,7514,5,4
4,0.067419,0.020255,4481,5,4
8,0.103862,0.038476,5370,4,4
13,0.153876,0.063483,3314,5,4
28,0.314246,0.143668,8171,4,4
42,0.447513,0.210302,10990,5,4
56,0.589482,0.281286,12837,1,3
52,0.550247,0.261669,10988,5,3
43,0.460152,0.216621,13077,5,4
55,0.587136,0.280113,12282,4,3
39,0.426279,0.199685,10615,4,4
34,0.372199,0.172644,9187,4,3
29,0.318342,0.145716,13338,4,3
78,0.818601,0.395846,16462,4,3
71,0.746747,0.359919,11253,4,4
36,0.388991,0.181041,12090,4,4
54,0.572964,0.273027,12511,4,3
96,1.001989,0.487540,13231,4,3
71,0.746751,0.359920,16592,4,3
56,0.588360,0.280725,11436,4,3
62,0.653890,0.313490,13327,4,3
68,0.719037,0.346064,15690,7,5
48,0.508979,0.241035,11723,4,4
63,0.661570,0.317330,14965,4,4
67,0.705767,0.339428,15238,4,4
53,0.565776,0.269433,11978,7,5
44,0.467220,0.220155,13406,7,5
56,0.593253,0.283172,12657,4,4
70,0.732286,0.352688,11888,7,5
48,0.514510,0.243800,13769,7,5
52,0.552544,0.262817,10016,7,4
69,0.721416,0.347253,11054,7,4
64,0.677955,0.325522,15035,2,3
56,0.590033,0.281562,11125,7,5
58,0.612707,0.292899,13209,7,5
66,0.690054,0.331572,16076,7,5
55,0.584816,0.278953,13519,7,4
56,0.597163,0.285127,12442,4,4
66,0.689244,0.331167,15577,2,3
52,0.554931,0.264011,10532,7,5
63,0.658854,0.315972,14596,7,4
62,0.657189,0.315139,14830,5,3
52,0.555409,0.264250,11012,5,4
61,0.645396,0.309243,15638,5,4
70,0.735594,0.354342,15829,5,4
35,0.380434,0.176762,11494,5,4
53,0.559214,0.266152,13269,5,4
88,0.913555,0.443323,16046,5,4
27,0.296053,0.134571,9696,5,4
57,0.598316,0.285703,13269,5,4
36,0.386916,0.180003,10883,5,4
31,0.340199,0.156644,12191,5,4
67,0.708231,0.340661,14222,4,3
29,0.316734,0.144912,12156,4,3
66,0.690975,0.332032,14201,4,3
28,0.308573,0.140832,8353,4,3
42,0.449477,0.211283,13640,4,3
83,0.862862,0.417976,15345,4,3
26,0.289196,0.131143,7256,4,3
52,0.556637,0.264863,13052,4,3
62,0.651663,0.312377,15085,4,3
25,0.280666,0.126878,8915,4,4
53,0.563510,0.268300,14004,4,3
58,0.615809,0.294450,14464,4,3
27,0.302275,0.137683,9411,4,4
18,0.204588,0.088839,7349,4,4
25,0.277713,0.125402,11927,4,4
19,0.223582,0.098336,12005,4,4
6,0.089851,0.031470,11579,4,4
6,0.092618,0.032854,11179,2,3
9,0.119817,0.046454,10627,4,4
14,0.170351,0.071721,6538,4,4
33,0.364593,0.168841,9308,5,3
60,0.633749,0.303420,15740,4,4
29,0.322834,0.147962,13092,5,4
56,0.592441,0.282765,13489,4,4
68,0.713343,0.343217,13911,4,4
30,0.328236,0.150663,11946,5,4
40,0.427671,0.200380,10920,2,3
61,0.647267,0.310179,13187,5,4
41,0.445981,0.209535,12012,2,3
52,0.554647,0.263869,12795,4,4
63,0.661655,0.317372,12589,5,4
36,0.389448,0.181269,11928,4,4
39,0.416464,0.194777,9544,2,3
45,0.486186,0.229638,10644,4,4
46,0.493030,0.233060,13066,5,4
59,0.624449,0.298769,11858,5,4
55,0.584038,0.278564,13952,4,4
43,0.462207,0.217649,12067,5,4
67,0.707048,0.340069,13023,4,4
44,0.474948,0.224019,11464,7,5
32,0.354753,0.163922,11321,4,4
53,0.567147,0.270119,14055,4,4
31,0.342700,0.157895,5399,2,3
68,0.711598,0.342344,13552,8,5
22,0.246945,0.110018,12315,6,5
39,0.420064,0.196577,10331,4,4
36,0.389537,0.181314,7041,5,4
29,0.318902,0.145996,6548,0,1
52,0.556820,0.264955,11025,7,5
25,0.282812,0.127951,10944,4,4
45,0.481898,0.227494,8991,7,5
38,0.408023,0.190556,8444,7,5
52,0.557325,0.265208,11783,4,4
23,0.260010,0.116550,11222,4,4
25,0.275386,0.124238,9676,4,4
17,0.196797,0.084944,4451,0,0
14,0.171556,0.072323,5412,8,5
26,0.286901,0.129995,6149,4,4
13,0.153998,0.063544,5726,2,3
19,0.223105,0.098098,7974,4,4
30,0.330618,0.151854,10527,4,4
34,0.370215,0.171652,9621,6,5
25,0.278258,0.125674,8489,6,5
28,0.307028,0.140059,10049,7,5
26,0.285303,0.129196,12068,2,3
30,0.333897,0.153494,10192,4,4
43,0.461354,0.217222,10843,9,6
34,0.366290,0.169690,11288,10,6
38,0.416278,0.194684,12478,0,1
57,0.598305,0.285698,12737,7,5
56,0.589851,0.281471,12253,2,3
54,0.574595,0.273843,12556,9,6
38,0.412447,0.192768,12612,10,5
22,0.246175,0.109633,4709,4,4
18,0.206281,0.089686,4421,2,3
20,0.227564,0.100327,7306,8,6
35,0.382853,0.177971,7915,6,5
28,0.307687,0.140388,7354,0,1
42,0.454810,0.213950,12916,4,4
46,0.491017,0.232054,13094,4,4
42,0.447527,0.210308,10210,2,3
51,0.545779,0.259435,12363,9,6
37,0.403859,0.188475,12549,4,4
51,0.542166,0.257628,10481,4,4
46,0.487425,0.230258,11760,8,6
66,0.693520,0.333305,14696,9,6
49,0.522979,0.248034,11431,4,4
47,0.500089,0.236589,11587,2,3
74,0.776252,0.374671,15746,4,4
40,0.432206,0.202648,10405,6,5
40,0.435249,0.204170,8832,4,4
54,0.571995,0.272543,12399,4,4
51,0.540355,0.256723,14032,8,6
40,0.434552,0.203821,9325,4,4
47,0.504178,0.238634,12176,9,6
51,0.542734,0.257912,13124,8,6
38,0.409397,0.191244,10747,2,3
54,0.571669,0.272380,13224,6,5
42,0.449152,0.211121,12659,4,4
39,0.417587,0.195339,10046,2,3
43,0.460401,0.216746,11449,4,4
71,0.742274,0.357682,15268,6,5
29,0.324244,0.148667,10539,2,3
45,0.480384,0.226737,10725,9,6
65,0.683838,0.328464,15255,9,6
23,0.264050,0.118570,12292,4,4
73,0.761507,0.367298,13953,8,6
63,0.665988,0.319539,13781,10,7
53,0.561204,0.267147,12343,4,4
56,0.594723,0.283906,14187,6,5
32,0.350312,0.161701,11155,6,5
59,0.627785,0.300438,13675,6,5
61,0.639319,0.306205,13775,4,4
37,0.400857,0.186974,10908,4,4
44,0.472404,0.222747,12232,4,4
19,0.218916,0.096003,11156,4,4
47,0.500372,0.236731,13215,4,4
41,0.442278,0.207684,12457,6,5
47,0.505646,0.239368,13900,4,4
38,0.415606,0.194348,13890,4,4
36,0.395483,0.184287,12868,4,4
45,0.484024,0.228557,12024,6,5
29,0.317226,0.145158,10787,2,3
64,0.675201,0.324145,10997,11,7
28,0.310769,0.141929,9680,10,7
79,0.824254,0.398672,13917,2,3
44,0.475915,0.224502,11639,4,4
46,0.491648,0.232369,12327,4,4
20,0.230015,0.101552,8688,6,5
71,0.745615,0.359353,14311,4,4
40,0.431233,0.202162,11731,4,4
33,0.355983,0.164536,10781,4,4
18,0.212439,0.092765,10271,11,7
