subframe_nums,imu_acc_noise_std,imu_gyr_noise_std,pts_used,opt_iter_count,rematch_num
11,0.534091,0.054018,7811,5,3
10,0.523486,0.048715,7855,5,3
2,0.444764,0.009354,6576,5,3
1,0.440747,0.007346,6461,5,4
1,0.441454,0.007700,6520,5,3
2,0.443755,0.008850,6417,5,3
2,0.443854,0.008900,6477,4,4
2,0.446192,0.010069,6472,5,3
1,0.440372,0.007158,6557,5,4
1,0.440319,0.007132,6529,5,3
2,0.443447,0.008696,6674,5,4
2,0.443105,0.008525,6557,5,4
1,0.441543,0.007744,6525,5,4
2,0.444595,0.009270,6569,5,4
1,0.440060,0.007003,6572,5,4
2,0.443227,0.008586,6678,5,4
2,0.446828,0.010387,6485,4,4
1,0.440607,0.007276,6399,5,3
2,0.445518,0.009732,6484,5,4
2,0.444249,0.009097,6439,5,4
1,0.440766,0.007355,6413,5,4
1,0.441082,0.007513,6573,4,3
2,0.444174,0.009060,6677,4,3
1,0.439404,0.006675,6583,4,3
2,0.445139,0.009542,6624,4,3
2,0.443984,0.008965,6542,4,3
1,0.438845,0.006395,6511,4,3
2,0.443765,0.008855,6650,4,3
2,0.442081,0.008013,6598,4,3
2,0.442014,0.007980,6424,4,3
2,0.444054,0.009000,6456,4,4
1,0.439758,0.006851,6451,4,3
2,0.442170,0.008058,6410,4,3
2,0.445879,0.009912,6412,4,3
2,0.441648,0.007797,6637,4,4
2,0.442716,0.008331,6622,4,3
2,0.443103,0.008524,6667,4,3
1,0.440135,0.007040,6574,4,4
2,0.445279,0.009612,6516,4,3
2,0.446355,0.010150,6610,2,3
2,0.445398,0.009672,6628,4,3
2,0.443539,0.008742,6440,4,4
2,0.445055,0.009500,6510,4,4
2,0.443211,0.008578,6426,4,4
2,0.444354,0.009150,6422,4,4
1,0.440898,0.007422,6469,4,3
2,0.443079,0.008512,6596,4,3
2,0.447118,0.010532,6671,4,3
1,0.441225,0.007585,6720,4,3
2,0.443884,0.008915,6610,4,4
2,0.444906,0.009425,6524,4,3
2,0.441637,0.007791,6632,4,3
2,0.445076,0.009510,6577,4,3
2,0.442908,0.008426,6597,4,3
1,0.440184,0.007065,6480,4,4
2,0.444596,0.009271,6374,2,3
2,0.443532,0.008739,6428,2,3
1,0.441218,0.007581,6422,4,3
2,0.447419,0.010682,6490,4,3
1,0.440518,0.007232,6607,4,3
1,0.441592,0.007769,6691,4,4
2,0.444259,0.009102,6634,4,3
2,0.443535,0.008740,6526,4,3
2,0.444569,0.009257,6583,4,4
2,0.444280,0.009112,6520,4,3
1,0.440856,0.007401,6507,4,3
2,0.442673,0.008309,6575,4,3
2,0.444409,0.009177,6373,4,4
1,0.440445,0.007195,6478,4,3
2,0.443556,0.008751,6504,4,3
2,0.444635,0.009290,6559,4,4
1,0.438456,0.006201,6535,4,4
2,0.443082,0.008514,6642,4,4
2,0.445129,0.009537,6659,4,3
1,0.440765,0.007355,6623,4,4
2,0.445771,0.009858,6641,4,4
2,0.442388,0.008167,6495,4,3
1,0.441180,0.007562,6532,4,4
2,0.445227,0.009586,6494,2,3
2,0.443269,0.008607,6389,4,4
2,0.448230,0.011088,6431,4,4
2,0.444082,0.009014,6505,4,4
1,0.441539,0.007742,6553,4,3
2,0.442662,0.008304,6597,4,4
2,0.445071,0.009508,6554,4,3
2,0.441966,0.007955,6627,4,4
2,0.442888,0.008417,6570,4,4
2,0.442268,0.008107,6776,4,3
1,0.440797,0.007371,6539,4,3
2,0.444758,0.009352,6524,4,4
2,0.443623,0.008784,6464,4,4
2,0.442723,0.008334,6406,2,3
2,0.447396,0.010671,6369,4,4
2,0.445998,0.009972,6489,4,3
2,0.442915,0.008430,6567,4,3
2,0.445064,0.009505,6584,4,4
2,0.441910,0.007927,6537,4,3
2,0.442952,0.008449,6529,4,4
2,0.442548,0.008247,6688,4,4
1,0.441485,0.007715,6649,4,4
2,0.442949,0.008447,6620,4,4
2,0.442109,0.008027,6498,4,3
1,0.439983,0.006964,6464,4,4
2,0.446014,0.009980,6426,4,4
1,0.441572,0.007759,6336,4,4
1,0.441328,0.007637,6440,4,3
2,0.445765,0.009855,6516,4,3
1,0.440982,0.007464,6592,4,4
2,0.441976,0.007961,6520,4,3
2,0.445076,0.009510,6462,4,4
2,0.451022,0.012483,6637,4,3
3,0.457604,0.015775,6628,4,4
3,0.455854,0.014900,6435,4,3
2,0.449531,0.011738,6574,4,4
2,0.448020,0.010983,6420,4,3
2,0.445618,0.009782,6368,4,3
2,0.446871,0.010408,6383,4,4
4,0.470974,0.022460,6415,4,3
